symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,probability_score,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate
ABFRL,76.67,77.49,77.49,76.46,105072,0.8199999999999932,1.0695187165775313,1.0,60.0,2025-08-20,09:50:00,76.13,76.2,76.12,60233,-0.7,False,1.79,0.46,40.28
BLS,377.2,382.2,382.2,376.7,398715,5.0,1.325556733828208,0.7362328528088249,60.0,2025-08-26,09:50:00,372.0,372.35,371.85,127594,-1.38,False,2.74,0.46,40.28
FINPIPE,214.55,213.5,216.88,213.5,56750,2.329999999999984,1.0859939408063313,1.0,60.0,2025-09-01,09:50:00,213.9,214.12,213.9,22212,-0.3,False,1.58,0.46,40.28
RTNINDIA,62.86,63.41,63.5,62.71,670093,0.6400000000000006,1.0181355392936693,1.102487129015211,60.0,2025-09-05,09:50:00,62.09,62.14,61.99,122408,-1.22,False,2.4,0.46,40.28
CGCL,191.43,193.32,193.45,191.43,323944,2.019999999999982,1.055216005850693,1.0,60.0,2025-08-20,09:50:00,189.78,189.94,189.65,8743,-0.86,False,1.99,0.45,40.28
ABFRL,84.52,84.92,85.37,84.52,433843,0.8500000000000085,1.0056791292001994,1.0,60.0,2025-09-02,09:50:00,83.7,83.79,83.57,177773,-0.97,False,2.13,0.45,40.28
CLEAN,1180.2,1167.0,1187.7,1165.1,432559,7.5,0.6354855109303508,0.41416605132698897,70.0,2025-08-21,09:50:00,1149.8,1150.0,1148.5,24055,-2.58,False,3.32,0.43,40.28
HOMEFIRST,1346.3,1361.0,1361.8,1342.4,36392,15.5,1.151303572754958,1.0327047773095532,50.0,2025-08-25,09:50:00,1330.3,1331.9,1328.8,5030,-1.19,False,2.45,0.42,40.28
360ONE,1032.9,1018.1,1040.0,1013.3,35052,7.099999999999909,0.6873850324329469,1.0,60.0,2025-09-01,09:50:00,1030.3,1030.4,1030.0,1589,-0.25,False,2.58,0.42,40.28
BDL,1588.0,1605.6,1605.9,1583.4,23554,17.90000000000009,1.127204030226706,1.0,50.0,2025-08-19,09:50:00,1549.9,1551.0,1549.0,24084,-2.4,False,3.58,0.41,40.28
ASHOKLEY,130.19,131.47,131.48,130.17,544201,1.289999999999992,0.9908595130194271,0.8938332680451909,50.0,2025-09-03,09:50:00,130.25,130.27,130.14,171262,0.05,True,1.03,0.4,40.28
IEX,134.16,135.0,135.3,133.69,260606,1.1400000000000148,0.8497316636851632,1.0,50.0,2025-08-05,09:50:00,133.36,133.55,133.32,147728,-0.6,False,1.48,0.39,40.28
BANDHANBNK,173.03,174.24,174.29,172.82,126571,1.259999999999991,0.7281974224122932,1.0,50.0,2025-08-25,09:50:00,171.38,171.48,171.15,38413,-0.95,False,1.81,0.38,40.28
IIFL,435.6,437.25,439.05,434.75,113560,3.4499999999999886,0.792011019283744,1.0,50.0,2025-08-29,09:50:00,426.2,426.9,426.0,18502,-2.16,False,3.0,0.38,40.28
ABCAPITAL,289.5,290.65,291.45,289.5,226219,1.9499999999999886,0.6735751295336748,1.0,50.0,2025-08-25,09:50:00,285.1,285.25,285.05,20898,-1.52,False,2.21,0.37,40.28
BALRAMCHIN,574.65,574.7,578.75,574.0,159745,4.100000000000023,0.7134777690768334,1.0,50.0,2025-09-02,09:50:00,566.35,567.45,566.15,26223,-1.44,False,2.19,0.37,40.28
IFCI,51.69,51.97,51.97,51.36,72097,0.28000000000000114,0.5416908492938695,1.0,50.0,2025-08-28,09:50:00,51.53,51.53,51.51,2915,-0.31,False,1.18,0.36,40.28
HINDPETRO,381.7,381.75,383.85,380.75,59588,2.150000000000034,0.5632695834425031,1.0,50.0,2025-08-29,09:50:00,375.85,375.9,375.35,39948,-1.53,False,2.23,0.36,40.28
BEL,376.5,378.55,378.55,376.25,511701,2.0500000000000114,0.5444887118193922,0.9087463782078888,50.0,2025-08-20,09:50:00,372.3,372.3,372.15,139062,-1.12,False,1.7,0.35,40.28
IFCI,51.63,51.72,51.89,51.55,64143,0.259999999999998,0.5035831880689482,0.9416177334116266,50.0,2025-08-28,09:50:00,51.53,51.53,51.51,2915,-0.19,False,0.74,0.35,40.28
